ALEXANDRIA,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
,MAY,297,2,0,308,0,607,5,24,,
,JUN,263,4,0,288,0,555,9,15,,
,JUL,281,2,0,302,0,585,8,12,,
,AUG,267,1,0,296,0,564,4,17,,
,SEP,271,0,0,332,0,603,3,15,,
,OCT,260,0,0,345,0,605,1,13,,
,NOV,237,3,1,270,0,511,5,14,,
,DEC,235,1,0,252,0,488,5,12,,
2014 Totals,,3349,56,1,3532,0,6938,100,187,,
,,,,,,,,,,,
,,,,,,,,,,,
RICHMOND,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2015,JAN,195,1,0,291,0,487,2,17,,
,FEB,287,4,0,280,0,571,9,21,,
,MAR,383,2,0,285,0,670,3,275,,
,APR,279,0,0,298,0,577,6,23,,
,MAY,240,50,0,239,0,529,52,26,,
,JUN,240,4,0,259,0,503,5,10,,
,JUL,261,8,0,303,0,572,13,34,,
,AUG,250,151,0,268,0,669,153,14,,
,SEP,237,0,0,290,0,527,2,17,,
,OCT,275,2,0,292,0,569,8,21,,
,NOV,246,0,0,282,0,528,5,14,,
,DEC,190,1,0,273,0,464,8,10,,
2015 Totals,,3083,223,0,3360,0,6666,266,482,,
,,,,,,,,,,,
,,,,,,,,,,,
NORFOLK,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2011,JAN,288,2,0,136,0,426,13,18,,
,FEB,343,2,0,153,0,498,10,18,,
,MAR,456,1,0,144,0,601,15,23,,
,APR,400,1,0,148,0,549,12,23,,
,MAY,367,3,0,143,0,513,12,14,,
,JUN,307,4,0,152,0,463,14,14,,
,JUL,317,2,0,157,0,476,6,21,,
,AUG,359,3,0,188,0,550,14,11,,
,SEP,268,3,0,154,0,425,9,21,,
,OCT,284,5,0,149,0,438,13,17,,
,NOV,305,1,0,165,0,471,7,9,,
,DEC,265,1,0,130,0,396,6,11,,
2011 Totals,,3959,28,0,1819,0,5806,131,200,,
,,,,,,,,,,,
,,,,,,,,,,,
NORFOLK,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2012,JAN,244,4,0,172,0,420,6,16,,
,FEB,329,2,0,172,0,503,8,11,,
,MAR,365,3,0,180,0,548,14,20,,
,APR,310,1,0,158,0,469,6,14,,
,MAY,314,1,0,158,0,473,11,137,,
,JUN,299,1,0,161,0,461,13,11,,
,JUL,302,5,0,176,0,483,10,72,,
,AUG,328,2,0,176,0,506,9,24,,
,SEP,257,2,0,144,0,403,12,20,,
,OCT,291,1,0,180,0,472,6,19,,
,NOV,199,0,0,144,0,343,4,17,,
,DEC,216,2,0,143,0,361,8,10,,
2012 Totals,,3454,24,0,1964,0,5442,107,371,,
,,,,,,,,,,,
,,,,,,,,,,,
NORFOLK,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2013,JAN,205,1,0,144,0,350,8,20,,
,FEB,239,2,0,142,0,383,6,15,,
,MAR,343,1,0,126,0,470,8,8,,
,APR,319,3,0,148,0,470,7,18,,
,MAY,307,3,0,147,0,457,9,7,,
,JUN,249,2,0,129,0,380,7,12,,
,JUL,258,0,0,151,0,409,4,14,,
,AUG,245,5,0,143,0,393,12,15,,
,SEP,246,2,0,172,0,420,6,14,,
,OCT,273,3,0,177,0,453,7,14,,
,NOV,215,3,0,145,0,363,8,22,,
,DEC,200,0,0,138,0,338,3,10,,
2013 Totals,,3099,25,0,1762,0,4886,85,169,,
,,,,,,,,,,,
,,,,,,,,,,,
NORFOLK,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2014,JAN,190,0,0,154,0,344,3,10,,
,FEB,247,2,0,143,0,392,6,9,,
,MAR,287,1,0,167,0,455,9,10,,
,APR,287,5,0,154,0,446,4,10,,
,MAY,268,3,0,140,0,411,12,12,,
,JUN,239,3,0,142,0,384,7,12,,
,JUL,254,2,0,113,0,369,6,3,,
,AUG,229,5,0,188,0,422,7,7,,
,SEP,233,1,0,145,0,379,2,11,,
,OCT,282,2,0,164,0,448,7,15,,
,NOV,210,3,0,136,0,349,6,10,,
,DEC,181,2,0,138,0,321,4,9,,
2014 Totals,,2907,29,0,1784,0,4720,73,118,,
,,,,,,,,,,,
,,,,,,,,,,,
NORFOLK,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2015,JAN,173,1,0,133,0,307,4,12,,
,FEB,223,1,0,128,0,352,8,6,,
,MAR,296,2,0,141,0,439,9,7,,
,APR,267,2,0,144,0,413,3,11,,
,MAY,271,2,0,145,0,418,7,10,,
,JUN,216,1,1,143,0,361,3,10,,
,JUL,239,2,0,145,0,386,4,12,,
,AUG,222,0,0,132,0,354,5,7,,
,SEP,213,0,0,164,0,377,6,16,,
,OCT,258,3,0,169,0,430,6,7,,
,NOV,209,0,0,149,0,358,4,4,,
,DEC,186,2,0,162,0,350,5,8,,
2015 Totals,,2773,16,1,1755,0,4545,64,110,,
,,,,,,,,,,,
,,,,,,,,,,,
NEWPORT NEWS,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2011,JAN,114,1,0,55,0,170,2,6,,
,FEB,121,0,0,66,0,187,1,5,,
,MAR,161,2,0,80,0,243,4,4,,
,APR,153,0,0,51,0,204,5,2,,
,MAY,122,1,0,71,0,194,5,3,,
,JUN,165,0,0,68,0,233,4,4,,
,JUL,113,2,0,71,0,186,3,6,,
,AUG,147,0,0,61,0,208,5,8,,
,SEP,100,0,0,74,0,174,2,4,,
,OCT,91,0,0,78,0,169,2,6,,
,NOV,111,2,0,59,0,172,5,2,,
,DEC,114,0,0,78,0,192,2,2,,
2011 Totals,,1512,8,0,812,0,2332,40,52,,
,,,,,,,,,,,
,,,,,,,,,,,
NEWPORT NEWS,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2012,JAN,91,2,0,59,0,152,6,1,,
,FEB,106,1,0,68,1,176,5,5,,
,MAR,139,0,0,57,0,196,3,2,,
,APR,130,0,0,62,0,192,5,3,,
,MAY,112,1,0,62,0,175,2,5,,
,JUN,96,1,0,63,0,160,1,1,,
,JUL,115,0,0,67,0,182,2,3,,
,AUG,121,0,0,69,0,190,1,4,,
,SEP,104,0,0,63,0,167,2,5,,
,OCT,97,0,0,73,0,170,0,5,,
,NOV,87,0,0,58,0,145,4,2,,
,DEC,79,1,0,59,0,139,3,3,,
2012 Totals,,1277,6,0,760,1,2044,34,39,,
,,,,,,,,,,,
,,,,,,,,,,,
NEWPORT NEWS,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2013,JAN,76,0,0,52,0,128,1,4,,
,FEB,89,0,0,61,0,150,0,2,,
,MAR,125,0,0,75,0,200,3,1,,
,APR,128,1,0,67,0,196,4,5,,
,MAY,136,1,0,88,0,225,1,3,,
,JUN,113,0,0,70,0,183,2,4,,
,JUL,117,1,0,63,0,181,2,3,,
,AUG,101,1,0,72,0,174,4,3,,
,SEP,106,0,0,66,0,172,0,5,,
,OCT,102,0,0,66,0,168,2,5,,
,NOV,88,2,0,60,0,150,6,5,,
,DEC,88,0,0,63,0,151,2,3,,
2013 Totals,,1269,6,0,803,0,2078,27,43,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NEWPORT NEWS,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2014,JAN,80,1,0,51,0,132,4,2,,
,FEB,103,1,0,60,0,164,1,1,,
,MAR,116,1,0,59,0,176,6,0,,
,APR,121,0,0,61,0,182,2,3,,
,MAY,108,0,0,45,0,153,2,8,,
,JUN,96,0,0,52,0,148,2,0,,
,JUL,76,0,0,63,0,139,2,2,,
,AUG,82,0,0,55,0,137,3,1,,
,SEP,93,0,0,44,0,137,3,2,,
,OCT,80,0,0,65,0,145,1,4,,
,NOV,92,0,0,45,0,137,0,4,,
,DEC,89,0,0,48,0,137,2,3,,
2014 Totals,,1136,3,0,648,0,1787,28,30,,
,,,,,,,,,,,
,,,,,,,,,,,
NEWPORT NEWS,,Ch. 7,Ch. 11,Ch. 12,Ch. 13,Ch. 15,All Ch.'s,Business,Adversaries,,
2015,JAN,78,0,0,59,0,137,1,1,,
,FEB,80,0,0,43,0,123,0,0,,
,MAR,123,1,0,40,0,164,3,5,,
,APR,111,0,0,55,0,166,0,6,,
,MAY,80,0,0,49,0,129,2,1,,
,JUN,82,0,0,58,0,140,0,6,,
,JUL,100,0,0,57,0,157,3,2,,
,AUG,94,0,0,52,0,146,0,2,,
,SEP,91,1,0,58,0,150,2,2,,
,OCT,115,0,0,63,0,178,2,2,,
,NOV,72,0,0,44,0,116,0,5,,
,DEC,76,0,0,56,0,132,1,2,,
2015 Totals,,1102,2,0,634,0,1738,14,34,,
